"","user_id","condition","total_trials","risk","gain","no_effect","experimental_treatment_selected","key_press","rt","ratio","batch","trial_index","risk_c","gain_c","Intercept","Risk_Beta","Gain_Beta","Interaction_Beta","Risk_sig","Gain_sig","Interaction_sig"
"1","01rSsifR","Mood",75,65,30,5,"No to treatment",77,735.810000001919,0.461538461538462,1,"1",19.2,2.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"2","01rSsifR","Mood",75,25,65,10,"Yes to treatment",90,801.634999999835,2.6,1,"2",-20.8,37.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"3","01rSsifR","Mood",75,50,15,35,"No to treatment",77,961.880000002566,0.3,1,"3",4.2,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"4","01rSsifR","Mood",75,80,15,5,"No to treatment",90,722.050000000279,0.1875,1,"4",34.2,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"5","01rSsifR","Mood",75,85,5,10,"No to treatment",77,640.49999999773,0.0588235294117647,1,"5",39.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"6","01rSsifR","Mood",75,65,5,30,"No to treatment",90,1170.61000000103,0.0769230769230769,1,"6",19.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"7","01rSsifR","Mood",75,45,10,45,"No to treatment",77,722.085000001243,0.222222222222222,1,"7",-0.799999999999997,-17.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"8","01rSsifR","Mood",75,80,5,15,"No to treatment",77,640.995000001567,0.0625,1,"8",34.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"9","01rSsifR","Mood",75,55,25,20,"No to treatment",77,898.26499999981,0.454545454545455,1,"9",9.2,-2.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"10","01rSsifR","Mood",75,25,35,40,"Yes to treatment",77,994.064999998896,1.4,1,"10",-20.8,7.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"11","01rSsifR","Mood",75,80,15,5,"No to treatment",90,969.989999997779,0.1875,1,"11",34.2,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"12","01rSsifR","Mood",75,85,5,10,"No to treatment",77,601.350000000792,0.0588235294117647,1,"12",39.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"13","01rSsifR","Mood",75,45,35,20,"No to treatment",90,962.08000000118,0.777777777777778,1,"13",-0.799999999999997,7.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"14","01rSsifR","Mood",75,30,55,15,"Yes to treatment",90,576.320000000123,1.83333333333333,1,"14",-15.8,27.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"15","01rSsifR","Mood",75,75,5,20,"No to treatment",77,753.154999998515,0.0666666666666667,1,"15",29.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"16","01rSsifR","Mood",75,75,5,20,"No to treatment",90,1058.21500000093,0.0666666666666667,1,"16",29.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"17","01rSsifR","Mood",75,85,5,10,"No to treatment",77,1057.67500000002,0.0588235294117647,1,"17",39.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"18","01rSsifR","Mood",75,45,50,5,"No to treatment",90,3474.27500000049,1.11111111111111,1,"18",-0.799999999999997,22.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"19","01rSsifR","Mood",75,30,20,50,"No to treatment",90,1009.44999999774,0.666666666666667,1,"19",-15.8,-7.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"20","01rSsifR","Mood",75,30,40,30,"Yes to treatment",77,1009.8399999988,1.33333333333333,1,"20",-15.8,12.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"21","01rSsifR","Mood",75,30,55,15,"Yes to treatment",90,1409.40000000046,1.83333333333333,1,"21",-15.8,27.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"22","01rSsifR","Mood",75,45,20,35,"No to treatment",77,881.844999999885,0.444444444444444,1,"22",-0.799999999999997,-7.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"23","01rSsifR","Mood",75,10,70,20,"Yes to treatment",77,945.475000000442,7,1,"23",-35.8,42.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"24","01rSsifR","Mood",75,60,5,35,"No to treatment",77,753.759999999602,0.0833333333333333,1,"24",14.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"25","01rSsifR","Mood",75,35,30,35,"No to treatment",90,946.24499999918,0.857142857142857,1,"25",-10.8,2.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"26","01rSsifR","Mood",75,80,15,5,"No to treatment",77,657.070000001113,0.1875,1,"26",34.2,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"27","01rSsifR","Mood",75,40,50,10,"No to treatment",77,1345.57500000298,1.25,1,"27",-5.8,22.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"28","01rSsifR","Mood",75,35,20,45,"No to treatment",90,1058.10000000201,0.571428571428571,1,"28",-10.8,-7.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"29","01rSsifR","Mood",75,45,25,30,"No to treatment",90,1505.70000000153,0.555555555555556,1,"29",-0.799999999999997,-2.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"30","01rSsifR","Mood",75,50,20,30,"No to treatment",90,882.249999998749,0.4,1,"30",4.2,-7.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"31","01rSsifR","Mood",75,70,5,25,"No to treatment",77,660.195000000414,0.0714285714285714,1,"31",24.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"32","01rSsifR","Mood",75,75,15,10,"No to treatment",77,5320.27000000016,0.2,1,"32",29.2,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"33","01rSsifR","Mood",75,30,35,35,"Yes to treatment",77,4546.45000000164,1.16666666666667,1,"33",-15.8,7.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"34","01rSsifR","Mood",75,10,45,45,"Yes to treatment",90,994.17000000173,4.5,1,"34",-35.8,17.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"35","01rSsifR","Mood",75,20,75,5,"Yes to treatment",77,2176.21999999756,3.75,1,"35",-25.8,47.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"36","01rSsifR","Mood",75,30,25,45,"No to treatment",77,865.819999999076,0.833333333333333,1,"36",-15.8,-2.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"37","01rSsifR","Mood",75,75,15,10,"No to treatment",77,976.265000001149,0.2,1,"37",29.2,-12.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"38","01rSsifR","Mood",75,5,65,30,"Yes to treatment",77,1089.8449999986,13,1,"38",-40.8,37.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"39","01rSsifR","Mood",75,25,40,35,"Yes to treatment",90,1202.62000000002,1.6,1,"39",-20.8,12.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"40","01rSsifR","Mood",75,5,65,30,"Yes to treatment",77,929.390000001149,13,1,"40",-40.8,37.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"41","01rSsifR","Mood",75,80,5,15,"No to treatment",90,594.010000000708,0.0625,1,"41",34.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"42","01rSsifR","Mood",75,15,75,10,"Yes to treatment",77,1009.45999999749,5,1,"42",-30.8,47.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"43","01rSsifR","Mood",75,30,40,30,"Yes to treatment",77,1393.39499999915,1.33333333333333,1,"43",-15.8,12.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"44","01rSsifR","Mood",75,35,55,10,"Yes to treatment",77,1041.73499999888,1.57142857142857,1,"44",-10.8,27.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"45","01rSsifR","Mood",75,5,45,50,"Yes to treatment",90,737.975000000035,9,1,"45",-40.8,17.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"46","01rSsifR","Mood",75,90,5,5,"No to treatment",77,722.444999999425,0.0555555555555556,1,"46",44.2,-22.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"47","01rSsifR","Mood",75,20,35,45,"No to treatment",77,5776.44500000315,1.75,1,"47",-25.8,7.6,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
"48","01rSsifR","Mood",75,70,20,10,"No to treatment",77,673.77999999735,0.285714285714286,1,"48",24.2,-7.4,0.00493508825595089,0.813127953376424,1.11401720116037,0.98847195793575,1,0,0
