,WorkerId,Completion_Code,Exists in batch(es)
1,AA06VO3XJ6KZZ,R_3kntPnEaq3ngkVd,batch 12 OLDER.csv
2,A24M9OW53CLT94,R_116kFP0gUN4MkWC,batch 12 OLDER.csv
3,AFDC9A6Z60W2Z,R_1gHjCG0gaBUUvFo,batch 11 OLDER.csv
4,A1NQB9FIIJ8UGB,R_3EVUBHR80C85cD9,batch 11 OLDER.csv
5,A3CIHH2K57SVR0,R_3Rjsjx1ASyF8VTi,batch 4.csv
6,A1V2H0UF94ATWY,R_3MKaXZNHd7fEafr,batch 4.csv (&& batch 11 NEWER.csv)
7,A1KBQ30L5IJCAI,R_1mIvZWqKJSDQBJm,batch 11 OLDER.csv
8,ARWN6TT8EWCFJ,R_2ffmpv1Crkq4buI,batch 4.csv
9,A2XUW21MM3NSSP,R_1dn12z7J9fPBXdo,batch 12 OLDER.csv
10,A3RH345508O6QG,R_ZFaejAHzXx3bVn3,batch 12 NEWER.csv
11,A2EKR2ZFO10VMV,R_3foqJzZba2OZt5d,batch 2.csv
12,A4HQEI5GW8KM2,R_2uXa4HEVpYcdJpr,batch 4.csv
13,AJD2Q9O3GMUEX,R_1drSzZe1NmqYIJn,batch 11 NEWER.csv
14,A1AKF49Q1B4Q9O,R_2PA0A6LEefzISlU,batch 11 OLDER.csv (&& batch 11 NEWER.csv)
15,AO0SKP1RQ65PH,R_22E70YTWI52Q1Td,batch 12 NEWER.csv
16,A2Q4Z6CADBW6WD,R_szXGRxZakzXt9bX,batch 11 NEWER.csv
17,A2GOS6NF74E2ST,R_1K2oykInPntfiAN,batch 4.csv
18,A3JI4ETY5NB7RQ,R_sS9RxqcVqWOu0uZ,batch 11 NEWER.csv
19,A4I69DE7BI20I,R_33gadIDXBS3qrI1,batch 12 NEWER.csv
20,A2FL477TMKC91L,R_1MQbQirUm6yaOE2,batch 2.csv
21,AS85HYEZQONS6,R_3gT3631CRT46IhT,batch 11 NEWER.csv
22,A1NKKZP1IV9VX5,R_2tfeoYF17Q0CoCn,batch 11 NEWER.csv
23,A28QZ8YDI84V0R,R_3KC9VUYUYbFkCWR,
24,A1AKF49Q1B4Q9O,R_C4DS61K0SPAv2VP,
25,A12WMAW1WY2TY1,R_237ZW2OENII3zq8,
26,A1V2H0UF94ATWY,R_3Jz8KDyvPNyL5Im,
27,A3RRB2LG2DS94Q,R_2ts68WwdZKTGzja,
28,A1ZDT69ZSLWN29,R_1rdY1UZTT7JeEqE,
29,A1B5SSGMTAQ9B5,R_1IviGvgYUIjYGns,
